날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만)
2024.11.19,686.12,3.43,-0.50%,894681.0,7236653.0
2024.11.18,689.55,4.13,+0.60%,875258.0,7423156.0
2024.11.15,685.42,3.86,+0.57%,895146.0,6502381.0
2024.11.14,681.56,8.09,-1.17%,819601.0,6860250.0
2024.11.13,689.65,20.87,-2.94%,866788.0,6992215.0
2024.11.12,710.52,18.32,-2.51%,896082.0,7412262.0
2024.11.11,728.84,14.54,-1.96%,836837.0,6923345.0
2024.11.08,743.38,9.86,+1.34%,766826.0,7206375.0
2024.11.07,733.52,9.79,-1.32%,812895.0,6599194.0
2024.11.06,743.31,8.5,-1.13%,1091762.0,7631434.0
2024.11.05,751.81,2.27,-0.30%,935204.0,5351281.0
2024.11.04,754.08,25.03,+3.43%,765673.0,6272448.0
2024.11.01,729.05,14.01,-1.89%,747067.0,5452481.0
2024.10.31,743.06,4.87,+0.66%,792645.0,5683626.0
2024.10.30,738.19,5.99,-0.80%,841964.0,4720424.0
2024.10.29,744.18,3.7,+0.50%,789978.0,5334266.0
2024.10.28,740.48,13.07,+1.80%,644668.0,4984503.0
2024.10.25,727.41,7.18,-0.98%,764951.0,5551810.0
2024.10.24,734.59,10.6,-1.42%,856785.0,5737873.0
2024.10.23,745.19,6.85,+0.93%,1099898.0,6763312.0
2024.10.22,738.34,21.61,-2.84%,1077035.0,7458340.0
2024.10.21,759.95,6.73,+0.89%,825152.0,6276459.0
2024.10.18,753.22,11.84,-1.55%,898076.0,7344862.0
2024.10.17,765.06,0.73,-0.10%,918805.0,6298049.0
2024.10.16,765.79,8.02,-1.04%,874301.0,6998439.0
2024.10.15,773.81,3.55,+0.46%,971992.0,7026232.0
2024.10.14,770.26,0.72,-0.09%,787259.0,5834049.0
2024.10.11,770.98,4.5,-0.58%,921390.0,6655515.0
2024.10.10,775.48,2.76,-0.35%,747791.0,5758807.0
2024.10.08,778.24,2.77,-0.35%,1000287.0,6752485.0
2024.10.07,781.01,12.03,+1.56%,822064.0,5491461.0
2024.10.04,768.98,6.85,+0.90%,891995.0,5427142.0
2024.10.02,762.13,1.75,-0.23%,1041589.0,5499174.0
2024.09.30,763.88,10.61,-1.37%,961430.0,6126552.0
2024.09.27,774.49,4.69,-0.60%,985779.0,5970066.0
2024.09.26,779.18,19.88,+2.62%,1070078.0,6874863.0
2024.09.25,759.3,8.05,-1.05%,1239693.0,6818903.0
2024.09.24,767.35,12.23,+1.62%,908833.0,6332937.0
2024.09.23,755.12,6.79,+0.91%,723264.0,5978101.0
2024.09.20,748.33,8.82,+1.19%,864233.0,6642001.0
2024.09.19,739.51,6.31,+0.86%,1104713.0,5852797.0
2024.09.13,733.2,2.17,+0.30%,1015094.0,5241893.0
2024.09.12,731.03,21.61,+3.05%,870759.0,6224173.0
2024.09.11,709.42,3.22,+0.46%,1046881.0,6411247.0
2024.09.10,706.2,8.26,-1.16%,910266.0,5812453.0
2024.09.09,714.46,7.87,+1.11%,784076.0,5374290.0
2024.09.06,706.59,18.69,-2.58%,861738.0,6232229.0
2024.09.05,725.28,6.47,-0.88%,950492.0,7047558.0
2024.09.04,731.75,28.62,-3.76%,1011498.0,6941247.0
2024.09.03,760.37,8.84,-1.15%,849514.0,6831746.0
2024.09.02,769.21,1.55,+0.20%,742708.0,7178329.0
2024.08.30,767.66,11.62,+1.54%,823296.0,7401837.0
2024.08.29,756.04,6.46,-0.85%,837870.0,7335104.0
2024.08.28,762.5,2.45,-0.32%,868584.0,7021101.0
2024.08.27,764.95,1.84,-0.24%,833341.0,6795552.0
2024.08.26,766.79,6.47,-0.84%,828774.0,6632080.0
2024.08.23,773.26,0.21,-0.03%,904335.0,7946182.0
2024.08.22,773.47,6.4,-0.82%,950992.0,9216819.0
2024.08.21,779.87,7.57,-0.96%,1073926.0,8370582.0
2024.08.20,787.44,9.97,+1.28%,997056.0,7990594.0
